dataset,n,metric,higher_is_better,floor_pct,method,role,selection,value,sd,n_seeds,rank,n_ranked,gap_to_best_pct,gap_over_floor,adaptive_paired_plain,source
PSM-forecast,2,forecast/mse,False,1.157,ta,candidate,val-selected alpha,0.36541034777959186,0.038490203433361916,3,1,7,0.0,0.0,,merge_baselines
PSM-forecast,2,forecast/mse,False,1.157,dare,candidate,val-selected alpha,0.3868483603000641,0.024222646989173834,3,3,7,5.8668,5.0707,,merge_baselines
PSM-forecast,2,forecast/mse,False,1.157,ties,candidate,val-selected alpha,0.42371275027592975,0.015651942211633036,3,6,7,15.9553,13.7903,,merge_baselines
PSM-forecast,2,forecast/mse,False,1.157,iso_c,candidate,val-selected alpha,0.3824724853038788,0.02975588177162363,3,2,7,4.6693,4.0357,,merge_baselines
PSM-forecast,2,forecast/mse,False,1.157,tsv,candidate,val-selected alpha,0.3873481551806132,0.027470057512628304,3,4,7,6.0036,5.1889,,merge_baselines
PSM-forecast,3,forecast/mse,False,1.157,base,reference,none,0.518848,,,,7,35.1329,30.3655,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,joint,reference,shared configuration,0.302186,,,,7,-21.2963,-18.4065,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,specialists,reference,mean of per-segment models,0.436511,,,,7,13.6884,11.8309,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.392485,,,,7,2.2219,1.9204,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,sequential,candidate,final step,0.383954,,,1,7,0.0,0.0,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,window_val,candidate,W selected on validation,0.413191,,,6,7,7.6147,6.5814,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,window_oracle,reference,W selected on TEST,0.361129,,,,7,-5.9447,-5.138,,method_comparison
PSM-forecast,3,forecast/mse,False,1.157,ta,candidate,val-selected alpha,0.39513994256655377,0.006826375572394126,3,2,7,2.9134,2.518,,merge_baselines
PSM-forecast,3,forecast/mse,False,1.157,dare,candidate,val-selected alpha,0.40411463379859924,0.003919621135926564,3,4,7,5.2508,4.5383,,merge_baselines
PSM-forecast,3,forecast/mse,False,1.157,ties,candidate,val-selected alpha,0.431921790043513,0.0028555138547491812,3,7,7,12.4931,10.7978,,merge_baselines
PSM-forecast,3,forecast/mse,False,1.157,iso_c,candidate,val-selected alpha,0.3976229429244995,0.01687329659067802,3,3,7,3.56,3.077,,merge_baselines
PSM-forecast,3,forecast/mse,False,1.157,tsv,candidate,val-selected alpha,0.4076262911160787,0.0006581182885692962,3,5,7,6.1654,5.3288,,merge_baselines
PSM-forecast,5,forecast/mse,False,1.157,base,reference,none,0.512621,,,,7,27.0246,23.3575,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,joint,reference,shared configuration,0.302186,,,,7,-25.12,-21.7113,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,specialists,reference,mean of per-segment models,0.476112,,,,7,17.9779,15.5384,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.40356,,,,7,-0.0001,-0.0001,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,sequential,candidate,final step,0.441867,,,6,7,9.4922,8.2041,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,window_val,candidate,W selected on validation,0.413191,,,4,7,2.3864,2.0626,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,window_oracle,reference,W selected on TEST,0.361129,,,,7,-10.5142,-9.0875,,method_comparison
PSM-forecast,5,forecast/mse,False,1.157,ta,candidate,val-selected alpha,0.4035602807998657,0.0055963159565728254,3,1,7,0.0,0.0,,merge_baselines
PSM-forecast,5,forecast/mse,False,1.157,dare,candidate,val-selected alpha,0.4073295096556346,0.008280594303210525,3,3,7,0.934,0.8073,,merge_baselines
PSM-forecast,5,forecast/mse,False,1.157,ties,candidate,val-selected alpha,0.449421763420105,0.01100838843169513,3,7,7,11.3642,9.8221,,merge_baselines
PSM-forecast,5,forecast/mse,False,1.157,iso_c,candidate,val-selected alpha,0.4062180519104004,0.015014648917920235,3,2,7,0.6586,0.5692,,merge_baselines
PSM-forecast,5,forecast/mse,False,1.157,tsv,candidate,val-selected alpha,0.41692517201105755,0.012604255213870968,3,5,7,3.3117,2.8624,,merge_baselines
SWaT,2,window_auroc,True,0.087,base,reference,none,0.799784,,,,6,0.5743,6.6012,,method_comparison
SWaT,2,window_auroc,True,0.087,joint,reference,shared configuration,0.80784,,,,6,-0.4272,-4.9101,,method_comparison
SWaT,2,window_auroc,True,0.087,specialists,reference,mean of per-segment models,0.800542,,,,6,0.4801,5.5181,,method_comparison
SWaT,2,window_auroc,True,0.087,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.8044,,,,6,0.0005,0.0053,,method_comparison
SWaT,2,window_auroc,True,0.087,sequential,candidate,final step,0.802682,,,4,6,0.214,2.4602,,method_comparison
SWaT,2,window_auroc,True,0.087,window_oracle,reference,W selected on TEST,0.802318,,,,6,0.2593,2.9803,,method_comparison
