dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,5,c05,iso_c,base,3,0.7709439263526875,0.004977659366100508,0 0 0,0.6457,0.068,0.0,1.3136727518760742,0.0,,
PSM,5,c05,tsv,calibrated,3,0.7938886694806372,0.0032667920548474804,5 3 5,0.6457,0.068,2.9761883249409053,3.7507012702183435,0.7935018308636586,better,better
PSM,5,c05,tsv,validation,3,0.7826766413758856,0.002301884095512076,1 1 1,0.6457,0.068,1.5218636041022051,3.7507012702183435,0.4057544161637835,,
PSM,5,c05,tsv,distance_matched,3,0.7877053549479167,0.001613883410828431,dm dm dm,0.6457,0.068,2.1741436727476455,3.7507012702183435,0.5796632459137647,,
PSM,5,c05,tsv,oracle,3,0.7998597299910689,0.0028654178921104093,3 3 3,0.6457,0.068,3.7507012702183435,3.7507012702183435,1.0,,
PSM,5,c05,tsv,base,3,0.7709439263526875,0.004977659366100508,0 0 0,0.6457,0.068,0.0,3.7507012702183435,0.0,,
PSM,5,c10,ta,calibrated,3,0.7717479048618964,0.010981055100888497,0 0 0.5,0.6975,0.068,1.1298262545419175,3.4710364616442857,0.3255011196300429,worse,worse
PSM,5,c10,ta,validation,3,0.7848837155113997,0.0010365234986735748,0.5 0.5 0.5,0.6975,0.068,2.8511425552768723,3.4710364616442857,0.8214095665034414,,
PSM,5,c10,ta,committed,3,0.789614286512991,0.003854922474175485,1 1 1,0.6975,0.068,3.4710364616442857,3.4710364616442857,1.0,,
PSM,5,c10,ta,distance_matched,3,0.789614286512991,0.003854922474175485,1 1 1,0.6975,0.068,3.4710364616442857,3.4710364616442857,1.0,,
PSM,5,c10,ta,oracle,3,0.789614286512991,0.003854922474175485,1 1 1,0.6975,0.068,3.4710364616442857,3.4710364616442857,1.0,,
PSM,5,c10,ta,base,3,0.7631259079981222,0.005322437435573503,0 0 0,0.6975,0.068,0.0,3.4710364616442857,0.0,,
PSM,5,c10,dare,calibrated,3,0.7715951241000639,0.010726929640623134,0 0 0.5,0.6975,0.068,1.1098058673120785,3.5291370366610697,0.3144694739204772,worse,worse
