dataset,n_segments,metric,rule,protocol,n_seeds,n_seeds_expected,floor_pct,value,value_sd,ta_value,delta_pct,delta_paired_sd,margin_ratio,borderline,verdict,alpha_mean,alpha_values,alpha_at_edge,oracle_value,oracle_alpha_values,distance,ta_distance,grr,grr_ta,grr_delta,source_experiment
ETTm2,3,forecast/mse,iso_c,val-selected alpha,3,3,14.107,0.1844149132569631,0.005596612138727954,0.11442957570155461,61.160182694322174,27.317893172821137,4.335449258830522,False,worse,1.1666666666666667,1 1 1.5,False,0.17651614050070444,1.5 1 1.5,7.058331,2.8863616666666663,0.78287,0.9218,-0.138931,ettm2_merge_n3
ETTm2,3,forecast/mse,tsv,val-selected alpha,3,3,14.107,0.1419120579957962,0.009134711087158801,0.11442957570155461,24.016939786545255,29.740148302063094,1.7024838581232902,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.1419120579957962,0.7 0.7 0.7,6.435668666666667,2.8863616666666663,0.867244,0.9218,-0.054557,ettm2_merge_n3
ETTm2,5,forecast/mse,ta,val-selected alpha,3,3,14.107,0.1190199926495552,0.010024599858635377,0.1190199926495552,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,0.1190199926495552,0.2 0.2 0.2,2.3532973333333334,2.3532973333333334,0.911048,0.911048,0.0,ettm2_merge_n5
ETTm2,5,forecast/mse,dare,val-selected alpha,3,3,14.107,0.1216454083720843,0.017154745757206595,0.1190199926495552,2.205861102898421,5.992891004588528,0.1563664211312413,False,tie,0.20000000000000004,0.2 0.2 0.2,False,0.1216454083720843,0.2 0.2 0.2,3.629813,2.3532973333333334,0.905738,0.911048,-0.00531,ettm2_merge_n5
ETTm2,5,forecast/mse,ties,val-selected alpha,3,3,14.107,0.2914571166038513,0.03140666631209927,0.1190199926495552,144.880805413947,33.27589870229893,10.270135777553485,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.28341174125671387,1 0.7 0.7,4.1311496666666665,2.3532973333333334,0.562308,0.911048,-0.34874,ettm2_merge_n5
ETTm2,5,forecast/mse,iso_c,val-selected alpha,3,3,14.107,0.1997870405515035,0.029604086736718195,0.1190199926495552,67.86006796333821,20.26860290375339,4.810382644314044,False,worse,0.7999999999999999,0.7 0.7 1,False,0.14963632822036743,1 1.5 1.5,5.048921666666666,2.3532973333333334,0.747703,0.911048,-0.163345,ettm2_merge_n5
ETTm2,5,forecast/mse,tsv,val-selected alpha,3,3,14.107,0.17501466472943625,0.020079657650849084,0.1190199926495552,47.046442226519744,9.946162189998134,3.334971448679361,False,worse,0.5666666666666667,0.5 0.5 0.7,False,0.1601064701875051,0.7 0.7 0.7,4.991210333333333,2.3532973333333334,0.797803,0.911048,-0.113245,ettm2_merge_n5
exchange,2,forecast/mse,ta,val-selected alpha,3,3,5.734,0.25541646281878155,0.02056716666656315,0.25541646281878155,0.0,0.0,0.0,False,control,0.6999999999999998,0.7 0.7 0.7,False,0.25541646281878155,0.7 0.7 0.7,2.268171,2.268171,1.398672,1.398672,0.0,segsweep_exchange_merge_n2
exchange,2,forecast/mse,dare,val-selected alpha,3,3,5.734,0.2684945712486903,0.024512654562721725,0.25541646281878155,5.120307550100126,1.896510557092435,0.8929730641960457,False,tie,0.6999999999999998,0.7 0.7 0.7,False,0.2684945712486903,0.7 0.7 0.7,3.931027333333333,2.268171,1.361494,1.398672,-0.037179,segsweep_exchange_merge_n2
exchange,2,forecast/mse,ties,val-selected alpha,3,3,5.734,0.3176249563694,0.05249904806281902,0.25541646281878155,24.355710224816445,15.192906141915914,4.24759508629516,False,worse,1.5,1.5 1.5 1.5,False,0.28421467045942944,1.5 2 2,3.5159826666666665,2.268171,1.221825,1.398672,-0.176847,segsweep_exchange_merge_n2
exchange,2,forecast/mse,iso_c,val-selected alpha,3,3,5.734,0.3630608717600505,0.03066890681920239,0.25541646281878155,42.14466356369629,7.038489691038243,7.34995876590448,False,worse,3.0,3 3 3,True,0.3630608717600505,3 3 3,4.601927333333333,2.268171,1.092659,1.398672,-0.306013,segsweep_exchange_merge_n2
