dataset,n_segments,seed,rule,metric,alpha,value,oracle_alpha,oracle_value,distance,source_experiment,run
exchange,5,42,dare,forecast/mse,0.3,0.30564311146736145,0.3,0.30564311146736145,1.671607,segsweep_exchange_merge_n5,79886
exchange,5,42,ties,forecast/mse,1.5,0.2204877883195877,1.5,0.2204877883195877,2.553216,segsweep_exchange_merge_n5,79886
exchange,5,42,iso_c,forecast/mse,3.0,0.3084282875061035,3.0,0.3084282875061035,4.75798,segsweep_exchange_merge_n5,79886
exchange,5,42,tsv,forecast/mse,1.0,0.2703506350517273,1.0,0.2703506350517273,2.72774,segsweep_exchange_merge_n5,79886
exchange,5,7,ta,forecast/mse,0.3,0.31745362281799316,0.3,0.31745362281799316,1.049305,segsweep_exchange_merge_n5,79937
exchange,5,7,dare,forecast/mse,0.3,0.31844469904899597,0.3,0.31844469904899597,1.6173,segsweep_exchange_merge_n5,79937
exchange,5,7,ties,forecast/mse,1.5,0.3382936418056488,1.5,0.3382936418056488,2.49144,segsweep_exchange_merge_n5,79937
exchange,5,7,iso_c,forecast/mse,3.0,0.3476305305957794,3.0,0.3476305305957794,4.629893,segsweep_exchange_merge_n5,79937
exchange,5,7,tsv,forecast/mse,1.0,0.2868488132953644,1.0,0.2868488132953644,2.655648,segsweep_exchange_merge_n5,79937
SWaT,2,42,ta,window_auroc,1.0,0.8055193475885678,2.0,0.8066360072870653,1.406059,segsweep_swat_merge_n2,79926
SWaT,2,42,dare,window_auroc,0.6552004462328673,0.8035530845678975,2.0,0.8074301315820895,1.406059,segsweep_swat_merge_n2,79926
SWaT,2,42,ties,window_auroc,1.9724860832324105,0.8049897882093008,5.0,0.806187663036396,1.406059,segsweep_swat_merge_n2,79926
SWaT,2,42,iso_c,window_auroc,2.783394224470199,0.8010226789316843,5.0,0.8021952090333273,1.406059,segsweep_swat_merge_n2,79926
SWaT,2,42,tsv,window_auroc,1.3190599814750759,0.8033663585274844,3.0,0.8060035806815501,1.406059,segsweep_swat_merge_n2,79926
SWaT,2,7,ta,window_auroc,1.0,0.8037136593917729,1.0,0.8037136593917729,1.642995,segsweep_swat_merge_n2,80689
