experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
fixshard_exchange_n5,80430,sum,scale,merge_scale/selected,0.35,5,bitwise,73,0.0
fixshard_exchange_n5,80431,sum,scale,merge_scale/selected,0.3,5,bitwise,73,0.0
fixshard_exchange_n5,80432,sum,scale,merge_scale/selected,0.3,5,bitwise,73,0.0
l2sp_clean_lam0p0,80311,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam0p0,80312,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam0p0,80313,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam1em2,80314,sum,scale,merge_scale/selected,0.4,3,bitwise,73,0.0
l2sp_clean_lam1em2,80315,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam1em2,80316,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam1em3,80317,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam1em3,80318,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
l2sp_clean_lam1em3,80319,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
n1_etth1,80371,sum,scale,config.json,1.0,1,bitwise,73,0.0
n1_etth1,80372,sum,scale,config.json,1.0,1,bitwise,73,0.0
n1_etth1,80373,sum,scale,config.json,1.0,1,bitwise,73,0.0
n1_exchange,80374,sum,scale,config.json,0.5,1,bitwise,73,0.0
n1_exchange,80375,sum,scale,config.json,0.5,1,bitwise,73,0.0
n1_exchange,80376,sum,scale,config.json,0.5,1,bitwise,73,0.0
n1_psm,80370,sum,scale,config.json,1.0,1,bitwise,49,0.0
n1_psm,80671,sum,scale,config.json,1.0,1,bitwise,49,0.0
n1_psm,80672,sum,scale,config.json,1.0,1,bitwise,49,0.0
n1_swat,80369,sum,scale,config.json,1.0,1,bitwise,49,0.0
n1_swat,80673,sum,scale,config.json,1.0,1,bitwise,49,0.0
