parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,7,1.4520902179054171
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,0,0.21993364341872318
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,1,0.4972631950520838
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,2,0.5989906619893749
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,3,0.713652892371785
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,4,0.8862128741878685
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,5,1.124590751267186
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,6,1.2707656716159454
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,7,1.4233674118744792
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,0,0.22398293315849271
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,1,0.3707907213804575
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,2,0.5416147125929252
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,3,0.639133887778993
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,4,0.774175248152889
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,5,1.0205067013357194
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,6,1.312096274420269
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,7,1.4520902179054171
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,0,0.2982925148856771
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,1,0.3559400887527499
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,2,0.48969250009985876
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,3,0.5587248426814396
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,4,0.8686679964359553
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,5,1.0584503982847506
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,6,1.3484589633236599
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,7,1.4090557201919538
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,0,0.21993364341872318
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,1,0.4972631950520845
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,2,0.5989906619893747
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,3,0.7136528923717846
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,4,0.8862128741878684
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,5,1.124590751267186
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,6,1.2707656716159457
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,7,1.4233674118744792
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,0,0.2982925148856775
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,1,0.3559400887527502
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,2,0.48969250009985943
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,3,0.5587248426814401
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,4,0.8686679964359554
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,5,1.0584503982847504
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,6,1.3484589633236599
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,7,1.4090557201919538
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,0,0.46974761096729856
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,1,0.8041835539615964
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,2,0.9728864329070344
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,3,1.059097145866653
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,4,1.2149060825806384
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,5,1.2804011673483995
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,6,1.3687539675836815
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,7,1.4253092032104455
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,0,0.6574655785625262
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,1,0.7942110391834201
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,2,0.834492894379541
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,3,1.0449835317168468
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,4,1.078795843256498
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,5,1.3458694157028104
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,6,1.444570841544676
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,7,1.5318367146998635
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,0,0.46974761096729856
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,1,0.8041835539615959
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,2,0.9728864329070344
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,3,1.0590971458666525
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,4,1.2149060825806384
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,5,1.2804011673483995
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,6,1.3687539675836815
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,7,1.4253092032104455
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,0,0.7291885648120322
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,1,0.9161808502708936
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,2,0.9805250389641019
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,3,1.107529898144097
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,4,1.253849722958913
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,5,1.2582205962668078
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,6,1.4421867057017448
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,7,1.538650673879982
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,0,0.6574655785625259
