dataset,n_segments,seed,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,step,lambda_star,one_over_t,lambda_over_one_over_t,fisher_num,fisher_den,lambda_term,lambda_over_fisher,floor_is_t,fisher_star_num,asymmetry_hat_over_star,d_norm,step_norm,merged_dist_from_base,unconstrained_dist_from_base
ETTm2,3,123,became,128,64,8192,2,0.0002169959390314264,0.3333333333333333,0.0006509878170942792,1.3620220956992716e-07,0.0006276716982717437,0.0006275354960621738,4607.381172770129,2,0.0,,4.090946674346924,0.0008877223590388894,3.6084487438201904,5.536745548248291
ETTm2,3,123,became,128,64,8192,3,0.0008966248290216204,0.25,0.0035864993160864816,3.853976188570967e-07,0.0004298315263895102,0.0004294461287706531,1114.2936742686243,3,0.0,,3.0604748725891113,0.0027440970297902822,3.6084985733032227,4.772850036621094
ETTm2,3,42,became,128,64,8192,1,0.7523693770960738,0.5,1.5047387541921475,8.875392485848611e-06,1.1796589223374609e-05,2.9211967375259977e-06,0.3291343726132344,1,0.0,,7.215146064758301,5.428454875946045,5.428454875946045,7.215146064758301
ETTm2,3,42,became,128,64,8192,2,0.003466074761616834,0.3333333333333333,0.010398224284850502,6.038613539308189e-08,1.7422052190505356e-05,1.7361666055112274e-05,287.5107993266498,2,0.0,,1.9126827716827393,0.006629501469433308,5.4284467697143555,5.752178192138672
ETTm2,3,42,became,128,64,8192,3,0.014611647115627796,0.25,0.05844658846251118,5.556052326904503e-07,3.802481871439437e-05,3.7469213481703916e-05,67.43855398960848,3,0.0,,1.9619346857070923,0.02866709791123867,5.428557872772217,5.77438497543335
ETTm2,3,7,became,128,64,8192,1,0.6338916698917365,0.5,1.267783339783473,1.350765989232178e-05,2.130909827956688e-05,7.8014383872451e-06,0.5775566196835994,1,0.0,,6.685657024383545,4.237982273101807,4.237982273101807,6.685657024383545
ETTm2,3,7,became,128,64,8192,2,0.0010252089535410494,0.3333333333333333,0.0030756268606231484,1.522023461267814e-07,0.0001484598291900181,0.0001483076268438913,974.4109116449107,2,0.0,,4.432879447937012,0.004544629715383053,4.237968921661377,6.122251510620117
ETTm2,3,7,became,128,64,8192,3,0.008196259788274474,0.25,0.0327850391530979,4.436416337047957e-07,5.4127326996085095e-05,5.36836853623803e-05,121.00686969812678,3,0.0,,1.955674171447754,0.016029218211770058,4.237950325012207,4.6619977951049805
ETTm2,5,123,became,128,64,8192,1,0.9953535458163648,0.5,1.9907070916327296,0.0004993493401205728,0.0005016803749978291,2.331034877256304e-06,0.004668144503191799,1,0.0,,4.864124298095703,4.841523170471191,4.841523170471191,4.864124298095703
ETTm2,5,123,became,128,64,8192,2,0.0030998912307553315,0.3333333333333333,0.009299673692265996,1.763186200621391e-07,5.6878969917656315e-05,5.670265129759418e-05,321.59196389814497,2,0.0,,3.559556722640991,0.011034229770302773,4.840338230133057,5.689505100250244
ETTm2,5,123,became,128,64,8192,3,0.00274832986103674,0.25,0.01099331944414696,1.2011835704401378e-07,4.370594619915896e-05,4.3585827842114944e-05,362.85734266365483,3,0.0,,3.3532516956329346,0.009215839207172394,4.839305400848389,5.568230152130127
ETTm2,5,123,became,128,64,8192,4,0.005482399867134128,0.2,0.02741199933567064,2.5030128683868604e-07,4.5655423337358396e-05,4.540512205051971e-05,181.40187221563255,4,0.0,,2.5053930282592773,0.013735567219555378,4.838352203369141,5.289490222930908
ETTm2,5,123,became,128,64,8192,5,0.004331714696942927,0.16666666666666666,0.025990288181657564,1.1550116265058106e-06,0.000266640743288322,0.0002654857316618162,229.85546255060194,5,0.0,,2.9188427925109863,0.012643592432141304,4.8375325202941895,5.482839584350586
ETTm2,5,42,became,128,64,8192,1,0.9928212430728491,0.5,1.9856424861456983,0.00018741005995722424,0.00018876515915108483,1.3550991938605938e-06,0.007230664107198359,1,0.0,,5.677580833435059,5.6368231773376465,5.6368231773376465,5.677580833435059
ETTm2,5,42,became,128,64,8192,2,0.01868104344673126,0.3333333333333333,0.056043130340193786,2.778228360078081e-07,1.4871912096346015e-05,1.4594089260338207e-05,52.530200432940816,2,0.0,,3.91711163520813,0.07317572832107544,5.629051208496094,6.491837978363037
ETTm2,5,42,became,128,64,8192,3,0.0047539163602414065,0.25,0.019015665440965626,1.6548216990957741e-07,3.480965111072634e-05,3.464416894081676e-05,209.35288049308872,3,0.0,,3.617504835128784,0.017197316512465477,5.627073764801025,6.326837539672852
ETTm2,5,42,became,128,64,8192,4,0.002018470039427445,0.2,0.010092350197137223,1.571623419408622e-07,7.78621128235535e-05,7.770495048161263e-05,494.42474273418384,4,0.0,,2.5979177951812744,0.005243821069598198,5.626762866973877,6.055211544036865
ETTm2,5,42,became,128,64,8192,5,0.0009322422641564294,0.16666666666666666,0.005593453584938577,7.358485584136409e-07,0.0007893319008439272,0.0007885960522855136,1071.6825402030915,5,0.0,,4.303571701049805,0.0040119728073477745,5.626495361328125,6.850733757019043
ETTm2,5,7,became,128,64,8192,1,0.9917586373212884,0.5,1.9835172746425769,0.00045830162188565315,0.00046211003830882953,3.808416423176379e-06,0.008309847142820246,1,0.0,,4.8518967628479,4.811910629272461,4.811910629272461,4.8518967628479
ETTm2,5,7,became,128,64,8192,2,0.0026066938545699033,0.3333333333333333,0.00782008156370971,1.5631594785735389e-07,5.996712946681863e-05,5.981081351896128e-05,382.627712263509,2,0.0,,4.085117816925049,0.010648655705153942,4.81093168258667,6.015394687652588
ETTm2,5,7,became,128,64,8192,3,0.002334406601780113,0.25,0.009337626407120452,1.3589316269328214e-07,5.8213150438169666e-05,5.807725727547638e-05,427.3743882652856,3,0.0,,3.6903281211853027,0.008614727295935154,4.809978008270264,5.727414608001709
ETTm2,5,7,became,128,64,8192,4,0.001326307723061851,0.2,0.006631538615309254,1.3825203267522708e-07,0.00010423827764198267,0.00010410002560930745,752.9728394941768,4,0.0,,3.1968441009521484,0.004240001086145639,4.809717655181885,5.608245849609375
