dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
ETTm2,5,base,ettm2_merge_n5,1,4,13817,3,0.586593,0.082774,
ETTm2,5,joint,ettm2_gate_joint,2,4,13817,3,0.088512,0.004559,1
ETTm2,5,merge,ettm2_merge_n5,2,4,13817,3,0.142476,0.009797,3
ETTm2,5,sequential,ettm2_continual_n5,2,4,13817,3,0.162407,0.017447,4
ETTm2,5,window,ettm2_window_W3,2,4,13817,3,0.114713,0.007418,2
ETTm2,5,base,ettm2_merge_n5,2,4,13817,3,0.57827,0.080713,
ETTm2,5,joint,ettm2_gate_joint,3,4,13817,3,0.049667,0.006018,1
ETTm2,5,merge,ettm2_merge_n5,3,4,13817,3,0.115305,0.006178,3
ETTm2,5,sequential,ettm2_continual_n5,3,4,13817,3,0.194971,0.036848,4
ETTm2,5,window,ettm2_window_W3,3,4,13817,3,0.098422,0.008922,2
ETTm2,5,base,ettm2_merge_n5,3,4,13817,3,0.558737,0.071366,
ETTm2,5,joint,ettm2_gate_joint,4,4,13817,3,0.057202,0.005926,1
ETTm2,5,merge,ettm2_merge_n5,4,4,13817,3,0.121157,0.003772,3
ETTm2,5,sequential,ettm2_continual_n5,4,4,13817,3,0.249086,0.043627,4
ETTm2,5,window,ettm2_window_W3,4,4,13817,3,0.113007,0.008855,2
ETTm2,5,base,ettm2_merge_n5,4,4,13817,3,0.554379,0.079213,
exchange,2,joint,exch_gate_standard,1,4,1470,3,0.662766,0.094112,4
exchange,2,merge,segsweep_exchange_merge_n2,1,4,1470,3,0.222701,0.034051,3
exchange,2,sequential,segsweep_exchange_seq_n2,1,4,1470,3,0.116117,0.004055,1
exchange,2,window,window_exchange_W3,1,4,1470,3,0.146201,0.006239,2
exchange,2,base,segsweep_exchange_merge_n2,1,4,1470,3,1.280276,0.033872,
exchange,2,joint,exch_gate_standard,2,4,1470,3,0.396366,0.063016,4
exchange,2,merge,segsweep_exchange_merge_n2,2,4,1470,3,0.250746,0.030843,3
exchange,2,sequential,segsweep_exchange_seq_n2,2,4,1470,3,0.200987,0.01475,2
exchange,2,window,window_exchange_W3,2,4,1470,3,0.19144,0.007007,1
exchange,2,base,segsweep_exchange_merge_n2,2,4,1470,3,0.965359,0.013983,
exchange,2,joint,exch_gate_standard,3,4,1470,3,0.219334,0.009604,1
exchange,2,merge,segsweep_exchange_merge_n2,3,4,1470,3,0.272112,0.017706,4
exchange,2,sequential,segsweep_exchange_seq_n2,3,4,1470,3,0.26579,0.019608,3
exchange,2,window,window_exchange_W3,3,4,1470,3,0.219508,0.011044,2
