parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.1890029960966505
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.2630460173334377
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.3680213662180952
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.4157019282368061
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,0.534140260103044
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,0.6304639019140131
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,0.6712433960535689
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.3379398201396517
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.843123097831025
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,0.8682676712532044
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,0.9993734974102196
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,1.187216598766302
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,1.2980627467224273
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,5,1.4484221745882335
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,6,1.4878399483682445
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,7,1.5700737883025522
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,0,0.6562276748288545
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,1,0.8120428317661376
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,2,0.9112793447151041
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,3,1.0437575587310728
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,4,1.1255283192783874
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,5,1.225108492499874
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,6,1.403645501180959
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,7,1.4886591357433325
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,0,0.843123097831025
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,1,0.8682676712532046
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,2,0.9993734974102196
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,3,1.1872165987663021
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,4,1.298062746722427
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,5,1.4484221745882335
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,6,1.4878399483682445
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,7,1.5700737883025522
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,0,0.3596035702665442
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,1,0.47804544816731703
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,2,0.5233366997803833
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,3,0.5712640048302218
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,4,0.6804760323324115
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,5,0.751514740867997
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,6,0.9192290864133482
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,7,1.449568535127302
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,0,0.6562276748288547
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,1,0.8120428317661376
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,2,0.9112793447151045
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,3,1.0437575587310728
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,4,1.1255283192783874
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,5,1.2251084924998743
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,6,1.403645501180959
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,7,1.4886591357433325
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,0,0.3596035702665449
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,1,0.4780454481673173
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,2,0.5233366997803833
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,3,0.5712640048302218
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,4,0.6804760323324115
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,5,0.7515147408679967
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,6,0.919229086413348
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,7,1.449568535127302
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,0,0.26846740309383205
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,1,0.3708286954772825
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,2,0.3956044788045531
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,3,0.5924945950285821
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,4,0.702744359068374
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,5,0.8177011425816499
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,6,1.3342199000780002
decoder.encoder.layers.1.linear2.weight,64x256,8,0,1,7,1.4217788820048811
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,0,0.33104047551644006
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,1,0.3691374857386576
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,2,0.48134794865777564
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,3,0.6127682321069895
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,4,0.6913541317703733
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,5,0.7286490936022135
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,6,1.3688942735163012
decoder.encoder.layers.1.linear2.weight,64x256,8,0,2,7,1.4874109520036554
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,0,0.2684674030938329
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,1,0.37082869547728153
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,2,0.39560447880455246
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,3,0.5924945950285825
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,4,0.7027443590683731
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,5,0.8177011425816504
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,6,1.334219900078
decoder.encoder.layers.1.linear2.weight,64x256,8,1,0,7,1.4217788820048811
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,0,0.11118212691737327
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,1,0.17887127316915025
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,2,0.19480913671317907
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,3,0.3048792925575059
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,4,0.37878224551621165
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,5,0.5510216306179512
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,6,0.6783744395000005
decoder.encoder.layers.1.linear2.weight,64x256,8,1,2,7,1.0776505283840503
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,0,0.3310404755164397
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,1,0.36913748573865796
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,2,0.48134794865777536
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,3,0.6127682321069897
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,4,0.6913541317703734
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,5,0.728649093602214
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,6,1.3688942735163012
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,7,1.4874109520036556
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,0,0.11118212691737427
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,1,0.1788712731691496
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,2,0.19480913671317562
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,3,0.3048792925575055
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,4,0.37878224551621137
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,5,0.5510216306179514
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,6,0.6783744395000008
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,7,1.0776505283840505
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,0,0.4594454018129924
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,1,0.6491416927299198
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,2,0.6615961466153912
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,3,0.8089648453428869
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,4,0.9132545221716223
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,5,1.1849396276577688
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,6,1.3466862963186292
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,7,1.4869527917372105
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,0,0.5334079115897767
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,1,0.6303675748648376
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,2,0.7213441511622735
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,3,0.7999635114616687
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,4,0.8513382421848997
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,5,1.0733120057287775
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,6,1.340755975758563
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,7,1.3816969541364785
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,0,0.4594454018129914
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,1,0.6491416927299198
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,2,0.6615961466153912
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,3,0.8089648453428867
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,4,0.9132545221716221
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,5,1.184939627657769
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,6,1.3466862963186292
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,7,1.4869527917372105
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,0,0.4022519518361375
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,1,0.4698036227461829
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,2,0.48375246234999286
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,3,0.5266934430328374
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,4,0.6382636821106944
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,5,0.7586941580473403
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,6,0.9366323028372495
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,7,1.1733842099157281
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,0,0.5334079115897767
