parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,1,0.5075858500328827
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,2,0.548795001962838
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,3,0.7389477450208174
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,4,1.0243119031143206
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,5,1.2252652319882023
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,6,1.3219168233983425
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,1,2,7,1.3997522875546897
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,0,0.4660497451506956
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,1,0.6152418981573905
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,2,0.7534912593820381
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,3,1.051823814370075
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,4,1.1331382410525785
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,5,1.170176812238371
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,6,1.3619375508835427
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,0,7,1.5486512033083213
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,0,0.4310911101918424
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,1,0.5075858500328829
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,2,0.5487950019628374
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,3,0.7389477450208167
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,4,1.0243119031143206
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,5,1.2252652319882023
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,6,1.3219168233983425
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,2,1,7,1.3997522875546897
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,1,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,2,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,3,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,4,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,5,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,6,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,1,7,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,1,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,2,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,3,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,4,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,5,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,6,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,0,2,7,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,1,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,2,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,3,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,4,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,5,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,6,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,0,7,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,1,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,2,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,3,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,4,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,5,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,6,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,1,2,7,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,1,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,2,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,3,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,4,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,5,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,6,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,0,7,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,0,0.0
decoder.encoder.layers.1.linear1.weight,256x64,8,2,1,1,0.0
